Time (s),PWM (%),Wheel speed (rad/s),zuuu rot speed (rad/s)
0.03381633758544922,0,0.0,0.0
0.045400142669677734,0,0.0,0.0
0.05736041069030762,0,0.0,0.0
0.06925797462463379,0,0.0,0.0
0.08088064193725586,0,0.0,0.0
0.09335660934448242,0,0.0,0.0
0.10544133186340332,0,0.0,0.0
0.11738109588623047,0,0.0,0.0
0.12909984588623047,0,0.0,0.0
0.1413288116455078,0,0.0,0.0
0.15343022346496582,0,0.0,0.0
0.16536879539489746,0,0.0,0.0
0.1775217056274414,0,0.0,0.0
0.189072847366333,0,0.0,0.0
0.20155119895935059,0,0.0,0.0
0.2134840488433838,0,0.0,0.0
0.22530651092529297,0,0.0,0.0
0.2375483512878418,0,0.0,0.0
0.24949026107788086,0,0.0,0.0
0.2613067626953125,0,0.0,0.0
0.27335548400878906,0,0.0,0.0
0.2850472927093506,0,0.0,0.0
0.29743218421936035,0,0.0,0.0
0.3090019226074219,0,0.0,0.0
0.3214435577392578,0,0.0,0.0
0.33330821990966797,0,0.0,0.0
0.345381498336792,0,0.0,0.0
0.35755491256713867,0,0.0,0.0
0.369448184967041,0,0.0,0.0
0.381378173828125,0,0.0,0.0
0.3933522701263428,0,0.0,0.0
0.4053518772125244,0,0.0,0.0
0.417405366897583,0,0.0,0.0
0.4293665885925293,0,0.0,0.0
0.4414217472076416,0,0.0,0.0
0.4533538818359375,0,0.0,0.0
0.46552300453186035,0,0.0,0.0
0.4773705005645752,0,0.0,0.0
0.4895017147064209,0,0.0,0.0
0.5012054443359375,0,0.0,0.0
0.513465166091919,0,0.0,0.0
0.525287389755249,0,0.0,0.0
0.5375628471374512,0,0.0,0.0
0.5493688583374023,0,0.0,0.0
0.5607285499572754,0,0.0,0.0
0.5731105804443359,0,0.0,0.0
0.5855283737182617,0,0.0,0.0
0.59686279296875,0,0.0,0.0
0.6093730926513672,0,0.0,0.0
0.6213490962982178,0,0.0,0.0
0.6334137916564941,0,0.0,0.0
0.6455323696136475,0,0.0,0.0
0.657555103302002,0,0.0,0.0
0.6694462299346924,0,0.0,0.0
0.6815214157104492,0,0.0,0.0
0.6931769847869873,0,0.0,0.0
0.7053353786468506,0,0.0,0.0
0.7174649238586426,0,0.0,0.0
0.7290658950805664,0,0.0,0.0
0.7412290573120117,0,0.0,0.0
0.7533650398254395,0,0.0,0.0
0.765369176864624,0,0.0,0.0
0.7774662971496582,0,0.0,0.0
0.7894363403320312,0,0.0,0.0
0.8014326095581055,0,0.0,0.0
0.8133225440979004,0,0.0,0.0
0.8253943920135498,0,0.0,0.0
0.8374485969543457,0,0.0,0.0
0.8493785858154297,0,0.0,0.0
0.8613994121551514,0,0.0,0.0
0.8734381198883057,0,0.0,0.0
0.8854317665100098,0,0.0,0.0
0.8973829746246338,0,0.0,0.0
0.9093167781829834,0,0.0,0.0
0.9213950634002686,0,0.0,0.0
0.9333460330963135,0,0.0,0.0
0.945502519607544,0,0.0,0.0
0.9574728012084961,0,0.0,0.0
0.9693331718444824,0,0.0,0.0
0.9816188812255859,0,0.0,0.0
0.9935019016265869,0,0.0,0.0
1.0055732727050781,0,0.0,0.0
1.0175652503967285,0,0.0,0.0
1.029573917388916,0,0.0,0.0
1.0413422584533691,0,0.0,0.0
1.053391695022583,0,0.0,0.0
1.0649142265319824,0,0.0,0.0
1.0774140357971191,0,0.0,0.0
1.0897929668426514,0,0.0,0.0
1.101393699645996,0,0.0,0.0
1.113556146621704,0,0.0,0.0
1.1255607604980469,0,0.0,0.0
1.1373341083526611,0,0.0,0.0
1.1494746208190918,0,0.0,0.0
1.1613404750823975,0,0.0,0.0
1.1734459400177002,0,0.0,0.0
1.1855103969573975,0,0.0,0.0
1.1976289749145508,0,0.0,0.0
1.2091076374053955,0,0.0,0.0
1.2213773727416992,0,0.0,0.0
1.2334051132202148,0,0.0,0.0
1.2455193996429443,0,0.0,0.0
1.257056713104248,0,0.0,0.0
1.2693426609039307,0,0.0,0.0
1.2814500331878662,0,0.0,0.0
1.2936439514160156,0,0.0,0.0
1.305654764175415,0,0.0,0.0
1.3174149990081787,0,0.0,0.0
1.3294439315795898,0,0.0,0.0
1.3411805629730225,0,0.0,0.0
1.353438377380371,0,0.0,0.0
1.3654627799987793,0,0.0,0.0
1.377441167831421,0,0.0,0.0
1.3895108699798584,0,0.0,0.0
1.4015696048736572,0,0.0,0.0
1.4135239124298096,0,0.0,0.0
1.4254863262176514,0,0.0,0.0
1.4375505447387695,0,0.0,0.0
1.4495081901550293,0,0.0,0.0
1.4616105556488037,0,0.0,0.0
1.4734632968902588,0,0.0,0.0
1.485548973083496,0,0.0,0.0
1.4975531101226807,0,0.0,0.0
1.509429693222046,0,0.0,0.0
1.521521806716919,0,0.0,0.0
1.5334327220916748,0,0.0,0.0
1.5455334186553955,0,0.0,0.0
1.5575487613677979,0,0.0,0.0
1.5693399906158447,0,0.0,0.0
1.5814063549041748,0,0.0,0.0
1.5933616161346436,0,0.0,0.0
1.6047520637512207,0,0.0,0.0
1.617405652999878,0,0.0,0.0
1.6291005611419678,0,0.0,0.0
1.6414377689361572,0,0.0,0.0
1.6535532474517822,0,0.0,0.0
1.6653988361358643,0,0.0,0.0
1.677396297454834,0,0.0,0.0
1.6894235610961914,0,0.0,0.0
1.7011260986328125,0,0.0,0.0
